,word,count
787,win,2
788,nurse,8
789,home,14
790,month,10
791,long,5
792,fight,5
793,heartwarming,1
794,governor,8
795,henry,1
796,mcmaster,1
797,joined,2
798,state,31
799,public,6
800,medium,5
801,update,8
802,exposure,1
803,wonder,1
804,seeing,2
805,house,6
806,response,5
807,disorganized,1
808,ineffective,1
809,repeat,1
810,2016,1
811,understand,2
812,record,3
813,new,43
814,tuesday,5
815,novel,2
816,yale,1
817,epidemiologist,1
818,awfully,1
819,close,4
820,default,1
821,mean,4
822,effect,1
823,even,6
824,likely,1
825,unveils,1
826,missile,1
827,1847,1
828,choctaw,1
829,native,1
830,community,2
831,send,4
832,ireland,1
833,starving,1
834,learning,1
835,disability,1
836,analysed,1
837,england,1
838,got,3
839,entire,1
840,charge,7
841,vaccine,13
842,think,5
843,development,4
844,mumbai,1
845,cross,2
846,10,5
847,mark,2
848,700,3
849,would,3
850,handled,1
851,way,5
852,law,2
853,denying,1
854,senator,2
855,clear,3
856,price,3
857,leader,2
858,voter,3
859,watching,1
860,happ,1
861,4,2
862,ago,3
863,january,2
864,right,9
865,delay,1
866,related,3
867,matt,2
868,threatened,1
869,amid,1
870,fear,3
871,human,1
872,ri,1
873,bailout,1
874,yes,5
875,safert,1
876,nice,3
877,job,9
878,week,5
879,move,1
880,worthlessrt,1
881,zip,1
882,hot,1
883,spot,1
884,apprentice,2
885,furloughed,1
886,use,5
887,retention,1
888,claim,2
889,commercial,2
890,affected,1
891,dive,1
892,useful,1
893,hunt,2
894,19,22
895,live,4
896,risk,2
897,social,3
898,eased,1
899,doctor,5
900,forced,2
901,positive,3
902,c,10
903,passed,9
904,away,7
905,lost,11
906,father,7
907,brother,8
908,around,2
909,distracted,1
910,quietly,1
911,management,1
912,look,6
913,like,8
914,pissed,1
915,hillary,1
916,isi,1
917,propaganda,1
918,technolo,1
919,elite,1
920,others,5
921,apparent,2
922,know,7
923,boondoggl,1
924,said,9
925,task,10
926,indefinitely,2
927,co,3
928,crippled,1
929,read,6
930,protecting,2
931,let,8
932,model,3
933,prediction,1
934,may,10
935,happen,1
936,publichealth,1
937,excellent,2
938,coverage,1
939,plant,1
940,worker,8
941,mask,6
942,greatest,1
943,chart,1
944,predicting,1
945,worry,2
946,smartnewsrt,1
947,failed,4
948,prepare,1
949,quick,1
950,fix,1
951,rick,3
952,bright,5
953,70,2
954,ten,2
955,thousand,4
956,die,6
957,perfect,2
958,disband,2
959,siskind,1
960,brian,1
961,outbreak,6
962,zealand,2
963,stopped,2
964,britain,3
965,toll,8
966,europe,7
967,murder,3
968,contagious,3
969,rest,1
970,declined,1
971,suggestion,1
972,team,4
973,cause,2
974,nation,11
975,supplying,2
976,tribal,2
977,last,6
978,restaurant,2
979,spoiler,1
980,pay,4
981,news,12
982,recovered,3
983,reached,1
984,1,14
985,start,5
986,end,5
987,capture,4
988,congress,4
989,yorkers,4
990,family,3
991,suffering,3
992,york,7
993,hidden,1
994,median,1
995,year,5
996,82,2
997,perhaps,1
998,journalist,2
999,prevention,2
1000,knowthefacts,1
1001,gotta,1
1002,dort,1
1003,watch,6
1004,webinar,2
1005,australia,1
1006,business,8
1007,world,10
1008,panel,1
1009,12,4
1010,ny,3
1011,fox9,2
1012,stop,6
1013,paying,1
1014,deliberately,2
1015,infected,1
1016,several,1
1017,question,2
1018,unfortunate,1
1019,suicide,4
1020,theorist,1
1021,person,5
1022,yobe,2
1023,suspected,3
1024,symptom,5
1025,holding,2
1026,account,2
1027,nyc,3
1028,jesssayin,7
1029,yet,7
1030,nobody,8
1031,interesting,7
1032,freshness,7
1033,following,3
1034,latest,6
1035,figure,4
1036,four,5
1037,cautious,2
1038,estimate,2
1039,linked,3
1040,boy,1
1041,mission,3
1042,fuck,1
1043,caught,3
1044,trying,3
1045,expose,1
1046,fake,4
1047,roy,1
1048,ka,2
1049,17,1
1050,joke,2
1051,biggest,1
1052,ever,3
1053,tanzania,2
1054,kit,3
1055,questioned,1
1056,tweeps,1
1057,madagascar,1
1058,till,1
1059,power,1
1060,set,2
1061,whistleblower,2
1062,admin,3
1063,pushing,2
1064,political,2
1065,interest,1
1066,believe,3
1067,20,3
1068,true,3
1069,idea,2
1070,two,4
1071,feature,1
1072,published,2
1073,jared,3
1074,shadow,1
1075,walmarts,1
1076,poll,4
1077,edge,2
1078,evaporates,2
1079,seen,3
1080,economy,4
1081,anybody,1
1082,came,3
1083,trade,2
1084,deal,4
1085,caslen,1
1086,continues,3
1087,priority,1
1088,plan,2
1089,ar,1
1090,decided,2
1091,take,5
1092,stimulus,1
1093,contract,2
1094,desi,1
1095,aunty,1
1096,group,3
1097,ilaaj,1
1098,mil,1
1099,le,1
1100,scotgov,1
1101,responsible,1
1102,scotland,1
1103,approach,1
1104,investigate,2
1105,source,2
1106,confirms,4
1107,free,2
1108,isolation,2
1109,center,3
1110,diagnosed,2
1111,brazil,2
1112,using,2
1113,amazon,1
1114,warn,1
1115,student,1
1116,jet,1
1117,corruption,2
1118,kent,1
1119,heckenlively,1
1120,cleaning,1
1121,sucharit,1
1122,bhakdi,1
1123,current,2
1124,politician,1
1125,country,8
1126,pettigrew,1
1127,lr,1
1128,rule,3
1129,649,1
1130,076,1
1131,speed,2
1132,ready,2
1133,dpa,1
1134,produce,2
1135,additional,1
1136,revealed,2
1137,nursing,7
1138,change,4
1139,modi,1
1140,0,1
1141,johnson,4
1142,sign,1
1143,rbi,2
1144,emis,2
1145,three,2
1146,effective,1
1147,jun,1
1148,2020,4
1149,penal,1
1150,cured,2
1151,provide,1
1152,romp,1
1153,married,1
1154,good,3
1155,horrendously,2
1156,worst,2
1157,fall,3
1158,point,2
1159,corona,4
1160,gallup,1
1161,tracking,2
1162,matching,1
1163,ca,1
1164,sysco,1
1165,closure,1
1166,savage,1
1167,rage,1
1168,gang,1
1169,voteblue2020,1
1170,payment,3
1171,research,1
1172,massive,1
1173,james,1
1174,single,2
1175,evidence,3
1176,prevent,1
1177,catching,1
1178,r,1
1179,detail,1
1180,67k,1
1181,lakh,2
1182,50,2
1183,ration,1
1184,meal,2
1185,patriot,1
1186,infamous,1
1187,cracolandia,1
1188,crack,1
1189,slum,1
1190,mutated,1
1191,become,2
1192,coronavirusroundup,1
1193,deadly,1
1194,son,1
1195,archie,1
1196,run,5
1197,usa,2
1198,department,4
1199,website,4
1200,showed,3
1201,tron,1
1202,decline,1
1203,hypatia,1
1204,texas,7
1205,abbott,3
1206,recording,1
1207,saying,2
1208,turned,3
1209,minnesota,1
1210,forecasted,1
1211,confirm,2
1212,counterintelligence,2
1213,security,2
1214,rna,1
1215,conclusion,1
1216,gl,1
1217,renowned,1
1218,hydroxychloroquine,2
1219,impacting,1
1220,sector,1
1221,caution,1
1222,revised,1
1223,active,1
1224,large,1
1225,substantial,1
1226,catastrophic,2
1227,threat,1
1228,treating,1
1229,exactly,1
1230,entail,1
1231,individua,1
1232,rotten,1
1233,tax,4
1234,abortion,1
1235,mosque,1
1236,board,1
1237,deepest,2
1238,thought,4
1239,volunteer,2
1240,led,2
1241,medical,5
1242,sacrifice,2
1243,echo,2
1244,deserve,2
1245,try,1
1246,blame,1
1247,france,3
1248,litre,1
1249,swimming,1
1250,full,2
1251,due,4
1252,expire,1
1253,consumer,1
1254,loeffler,1
1255,position,2
1256,america,5
1257,citizen,2
1258,nya,1
1259,dabi,2
1260,cure,1
1261,dabihawks,1
1262,hawk,1
1263,bnha,1
1264,started,1
1265,curious,1
1266,superiority,1
1267,acquired,1
1268,administr,1
1269,kissmybot,1
1270,alo,1
1271,behaving,1
1272,badly,2
1273,bail,1
1274,behave,1
1275,refugee,1
1276,cox,1
1277,bazar,1
1278,rachel,1
1279,speaks,1
1280,mr,2
1281,help,5
1282,story,5
1283,already,4
1284,pulled,2
1285,verge,5
1286,significant,4
1287,nurseappreciationday,1
1288,always,2
1289,grateful,1
1290,especially,2
1291,discussion,2
1292,andrew,3
1293,sent,5
1294,al,2
1295,handout,1
1296,ericmoye,1
1297,morally,1
1298,go,4
1299,shelley,1
1300,pompeo,2
1301,certain,1
1302,lab,2
1303,robinson,1
1304,confronts,1
1305,parked,1
1306,fine,1
1307,essential,3
1308,carers,1
1309,told,2
1310,dec,1
1311,27th,1
1312,confirmed,2
1313,ce,1
1314,attendee,1
1315,arizonan,1
1316,convicted,2
1317,pedophile,2
1318,jail,4
1319,hair,2
1320,owner,6
1321,thro,2
1322,magnolialng,1
1323,administrator,1
1324,insolvent,1
1325,uslng,1
1326,lngly,1
1327,lng,1
1328,ongt,1
1329,hospital,6
1330,near,2
1331,madrid,2
1332,spending,1
1333,recovering,1
1334,hersel,1
1335,newspaper,1
1336,inquiry,1
1337,loss,2
1338,though,5
1339,burnley,2
1340,emirat,2
1341,child,1
1342,used,3
1343,walkie,1
1344,talkie,1
1345,goodbye,1
1346,support,3
1347,nazi,1
1348,fed,1
1349,adolfhitler,1
1350,businessnews,1
1351,suppress,1
1352,rasmussen,1
1353,type,1
1354,reporting,1
1355,sarscov2,1
1356,shield,1
1357,fighting,2
1358,affecte,1
1359,working,3
1360,palantir,1
1361,rightwing,1
1362,thiel,1
1363,wuhan,1
1364,space,1
1365,exa,1
1366,mon,1
1367,myopic,1
1368,enter,1
1369,uofsc,2
1370,mid,2
1371,decision,3
1372,lightly,2
1373,requi,2
1374,making,5
1375,absol,1
1376,join,1
1377,fined,2
1378,sentenced,2
1379,violating,2
1380,measure,2
1381,via,5
1382,oa,1
1383,persconferentie,1
1384,versoepeling,1
1385,viruscorona,1
1386,something,3
1387,exceptionally,1
1388,high,1
1389,rate,1
1390,easily,1
1391,put,5
1392,worse,3
1393,monoclonal,1
1394,antibody,1
1395,potentially,1
1396,embarrassing,1
1397,spotted,1
1398,solution,1
1399,instead,1
1400,roll,1
1401,mutation,2
1402,detected,1
1403,mirror,1
1404,2003,1
1405,sars,1
1406,share,1
1407,covid19dont,1
1408,professional,1
1409,govt,1
1410,pointing,1
1411,questionable,1
1412,zapping,1
1413,thanks,1
1414,philanthropic,1
1415,tracy,1
1416,murdered,1
1417,niagara,1
1418,gateway,1
1419,multiple,1
1420,coronaviru,1
1421,love,1
1422,silk,1
1423,marvel,1
1424,insidious,1
1425,huge,2
1426,statement,1
1427,proof,1
1428,regret,1
1429,check,2
1430,getting,1
1431,coron,2
1432,agency,1
1433,jointly,1
1434,conducting,1
1435,cyber,1
1436,campai,1
1437,600,1
1438,peak,2
1439,proposed,1
1440,policy,2
1441,immunity,1
1442,nhsx,1
1443,planning,1
1444,usual,1
1445,kind,1
1446,event,2
1447,lady,1
1448,retweet,2
1449,pressers,1
1450,headed,2
1451,vice,2
1452,mike,2
1453,bringing,3
1454,toge,2
1455,nationwide,1
1456,jump,1
1457,reported,4
1458,rec,1
1459,boynton,2
1460,beach,1
1461,delray,1
1462,responder,1
1463,pushy,1
1464,pennsylvania,1
1465,ventilator,1
1466,dozen,3
1467,young,1
1468,felt,1
1469,pushed,1
1470,conveniently,1
1471,g,1
1472,strategically,1
1473,domination,1
1474,jedi,1
1475,maybe,1
1476,bernie,1
1477,raised,1
1478,charity,2
1479,bbc,2
1480,approved,1
1481,parliament,1
1482,vote,1
1483,207,1
1484,individual,1
1485,global,3
1486,line,2
1487,lockdownextension,1
1488,coded,1
1489,coronavirusrt,2
1490,ill,1
1491,researching,1
1492,deadlier,1
1493,indoors,2
1494,save,1
1495,messaging,1
1496,absolute,1
1497,unscientific,1
1498,bollock,1
1499,kong,1
1500,reopen,1
1501,bar,1
1502,dwindle,1
1503,breitbart,1
1504,ossetia,1
1505,fewer,3
1506,enquiry,1
1507,corporate,1
1508,manslaughter,1
1509,trial,1
1510,stat,1
1511,worth,1
1512,sharing,1
1513,5x,1
1514,ensure,1
1515,nh,1
1516,overrun,1
1517,viewer,1
1518,heal,1
1519,minister,2
1520,production,1
1521,zobaida,1
1522,foreign,1
1523,islamabad,1
1524,06,1
1525,05,1
1526,surgical,1
1527,canada,1
1528,taiwan,1
1529,cdnpolirt,1
1530,mandate,1
1531,open,3
1532,school,5
1533,kid,1
1534,icymi,1
1535,abc,1
1536,prepared,1
1537,resulted,1
1538,increase,1
1539,briana,1
1540,duffy,1
1541,regional,1
1542,served,1
1543,really,2
1544,university,4
1545,endowment,2
1546,801,2
1547,fundus,2
1548,expert,2
1549,mistake,1
1550,rapid,2
1551,result,2
1552,starting,1
1553,hydrodroxychloroquin,1
1554,plentiful,1
1555,delighted,1
1556,strictly,1
1557,dancing,1
1558,head,1
1559,goodman,1
1560,chief,1
1561,staff,1
1562,chairman,1
1563,manmade,1
1564,190,1
1565,emailed,1
1566,scottish,1
1567,ask,3
1568,completing,1
1569,short,1
1570,survey,3
1571,kenya,1
1572,homel,1
1573,lose,1
1574,d,1
1575,cabal,1
1576,significan,1
1577,shmorona,1
1578,helping,1
1579,dream,1
1580,decade,1
1581,alarmist,1
1582,rational,1
1583,heartbreaking,2
1584,statistic,2
1585,climbing,1
1586,best,1
1587,private,1
1588,call,3
1589,gop,2
1590,greg,1
1591,admitted,1
1592,scientific,1
1593,mar,1
1594,apr,1
1595,9,1
1596,643,1
1597,043,1
1598,tolerated,1
1599,sister,1
1600,talking,1
1601,remidisvir,1
1602,gilead,1
1603,site,3
1604,nyu,1
1605,uspoli,1
1606,donnyt,1
1607,uspolitics,1
